"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene"
"Fam135b",1.23962797279575e-267,1.36837653846416,0.965,0.689,5.67352930589159e-263,"Fam135b"
"Slit2",5.03153085831168e-266,1.70063891874832,0.826,0.423,2.30283104323209e-261,"Slit2"
"Kcnc2",1.82145932019934e-255,1.47234433154216,0.988,0.86,8.33645501668836e-251,"Kcnc2"
"Cacna2d2",7.68195914876257e-243,0.534897716006036,0.91,0.41,3.51587906320565e-238,"Cacna2d2"
"Tmem44",1.11403262223278e-237,0.878010902687204,0.938,0.497,5.09870450543499e-233,"Tmem44"
"Oprd1",1.5502040357007e-204,0.431754076283328,0.733,0.246,7.09497383059497e-200,"Oprd1"
"Tnr",3.57280307015739e-194,0.984457840718111,0.961,0.727,1.63520050914964e-189,"Tnr"
"Kctd8",6.47319119672556e-194,0.873462523104934,0.923,0.497,2.96265014691736e-189,"Kctd8"
"Nek7",1.46459931526082e-187,1.07362746398531,0.946,0.79,6.70317814608571e-183,"Nek7"
"Rapgef5",2.44500073056064e-181,0.806960423564162,0.881,0.555,1.11902793436299e-176,"Rapgef5"
"Pvalb",7.05377679063435e-181,0.93618878222209,0.587,0.172,3.22837256153753e-176,"Pvalb"
"Satb1",1.75639024018148e-170,0.788863827819531,0.975,0.711,8.03864685126261e-166,"Satb1"
"Man1c1",1.89425050903716e-170,0.798245433025167,0.922,0.705,8.66960572976127e-166,"Man1c1"
"Me3",1.53386649148587e-169,0.99103057374186,0.965,0.805,7.02020015823252e-165,"Me3"
"Fgf12",6.0838495924671e-168,0.944224376354609,0.995,0.979,2.78445628148034e-163,"Fgf12"
"Plch2",6.64832556202707e-165,0.492957319278055,0.837,0.436,3.04280564322855e-160,"Plch2"
"Gm13629",1.22934022941775e-164,0.702365547903601,0.774,0.421,5.62644436199916e-160,"Gm13629"
"Eya4",4.52378536216183e-161,1.06306575299016,0.731,0.384,2.07044608455423e-156,"Eya4"
"Lhx6",1.5941320713869e-158,0.360395030581658,0.864,0.346,7.29602366432357e-154,"Lhx6"
"Tmem132d",1.99621441077803e-156,1.02112985785501,0.926,0.759,9.13627411524891e-152,"Tmem132d"
"Cntnap4",1.54073351558584e-155,1.19260001936728,0.897,0.62,7.05162915413327e-151,"Cntnap4"
"Iqgap2",1.64093373334598e-155,1.01584749127026,0.862,0.572,7.51022551077787e-151,"Iqgap2"
"Coro6",2.64706591727029e-154,0.558342130215706,0.889,0.507,1.21150912901627e-149,"Coro6"
"Sox6",3.17544889761074e-154,0.763787966356881,0.939,0.558,1.45333945145848e-149,"Sox6"
"Mkx",2.44698165234022e-153,0.644113727644033,0.926,0.58,1.11993456264307e-148,"Mkx"
"Tmem132c",2.09740009864975e-152,0.77861527436079,0.743,0.382,9.59938077150016e-148,"Tmem132c"
"Cntnap3",8.50721213472805e-150,0.643675782706437,0.875,0.496,3.89358084982233e-145,"Cntnap3"
"Ppargc1a",1.21695883017722e-146,1.02446840040492,0.986,0.968,5.56977717395512e-142,"Ppargc1a"
"Tshz3",2.49643227012484e-145,0.560236273258145,0.918,0.595,1.14256712139074e-140,"Tshz3"
"Wipf3",4.88516393436971e-141,0.384121821173305,0.839,0.462,2.23584182948233e-136,"Wipf3"
"Mypn",8.61899496712995e-140,0.387437599980948,0.597,0.245,3.94474161655604e-135,"Mypn"
"Kcnma1",1.61271520865748e-139,0.754608388773988,0.994,0.981,7.38107496698357e-135,"Kcnma1"
"Slc24a2",1.0411203113388e-134,0.736931513713302,0.993,0.942,4.76499944093541e-130,"Slc24a2"
"Rbfox1",2.43391410416876e-133,0.768240030619171,0.999,0.984,1.11395380719596e-128,"Rbfox1"
"Epb4.1",9.04886064665051e-133,0.540095429184805,0.834,0.521,4.14148254075901e-128,"Epb4.1"
"Bcl2l11",2.75095242380872e-127,0.523054342106636,0.691,0.316,1.25905590532877e-122,"Bcl2l11"
"Gpr125",6.56503958966089e-126,0.476589909555186,0.574,0.215,3.004687319396e-121,"Gpr125"
"Dgki",6.08517857030823e-124,0.692998135129879,0.97,0.907,2.78506452805867e-119,"Dgki"
"Dock4",1.02443272936993e-123,1.45965261611402,0.959,0.886,4.6886237157803e-119,"Dock4"
