"Enrichment FDR","nGenes","Pathway Genes","Fold Enrichment","Pathway","URL","Genes"
9.50801253932524e-10,9,76,25.1615993868166,"Voltage-gated potassium channel complex "," http://amigo.geneontology.org/amigo/term/GO:0008076"," Hcn1  Kcnj3  Kcnab1  Kcnq5  Kcnip4  Kcnc2  Kcnmb2  Cntnap2  Kcnc1"
4.369242561999e-10,10,98,21.6811967505449,"GABA-ergic synapse "," http://amigo.geneontology.org/amigo/term/GO:0098982"," Gabrb2  Gabra1  Cdh10  Grm8  Gabrd  Gabra4  Cntnap4  Cntn5  Gabrg3  Erbb4"
1.38682771057539e-18,20,213,19.9507725967455,"Integral component of synaptic membrane "," http://amigo.geneontology.org/amigo/term/GO:0099699"," Gabrb2  Gabra1  Cdh10  Grm8  Cdh2  Epha4  Kcnj3  Gabrd  Gabra4  Cntnap4  Clstn2  Htr2a  Grm5  Lrrc4c  Gabrg3  Kcnc1  Ntrk3  Dcc  Erbb4  Scn1a"
6.13805681126539e-14,15,162,19.6736785329018,"Integral component of postsynaptic membrane "," http://amigo.geneontology.org/amigo/term/GO:0099055"," Gabrb2  Gabra1  Cdh10  Cdh2  Epha4  Gabrd  Gabra4  Clstn2  Htr2a  Grm5  Lrrc4c  Kcnc1  Ntrk3  Dcc  Erbb4"
1.59791530617649e-10,11,120,19.4769417475728,"Intrinsic component of presynaptic membrane "," http://amigo.geneontology.org/amigo/term/GO:0098889"," Cdh10  Grm8  Cdh2  Epha4  Kcnj3  Cntnap4  Htr2a  Cntn5  Kcnc1  Erbb4  Scn1a"
8.40688687648661e-11,13,186,14.850454118384,"Presynaptic membrane "," http://amigo.geneontology.org/amigo/term/GO:0042734"," Cdh10  Grm8  Cdh2  Epha4  Kcnj3  Cntnap4  Htr2a  Kcnc2  Kctd8  Cntn5  Kcnc1  Erbb4  Scn1a"
3.16147883202779e-14,19,317,12.735138280604,"Postsynaptic membrane "," http://amigo.geneontology.org/amigo/term/GO:0045211"," Gabrb2  Gabra1  Cdh10  Grik1  Cdh2  Epha4  Gabrd  Gabra4  Clstn2  Htr2a  Kcnc2  Kctd8  Grm5  Lrrc4c  Gabrg3  Kcnc1  Ntrk3  Dcc  Erbb4"
2.93381407077802e-18,25,447,11.8834299863165,"Synaptic membrane "," http://amigo.geneontology.org/amigo/term/GO:0097060"," Gabrb2  Gabra1  Cdh10  Grik1  Grm8  Cdh2  Epha4  Kcnj3  Gabrd  Gabra4  Cntnap4  Clstn2  Htr2a  Kcnc2  Kctd8  Cntnap2  Cntn5  Grm5  Lrrc4c  Gabrg3  Kcnc1  Ntrk3  Dcc  Erbb4  Scn1a"
1.30771628273781e-10,15,294,10.8405983752724,"Ion channel complex "," http://amigo.geneontology.org/amigo/term/GO:0034702"," Gabrb2  Gabra1  Hcn1  Kcnj3  Kcnab1  Kcnq5  Gabrd  Kcnip4  Gabra4  Kcnc2  Kcnmb2  Cntnap2  Gabrg3  Kcnc1  Scn1a"
1.30771628273781e-10,22,770,6.07073509015257,"Dendrite "," http://amigo.geneontology.org/amigo/term/GO:0030425"," Gabra1  Ptprk  Hcn1  Cpne6  Epha4  Kcnab1  Brinp1  Sema3a  Gabrd  Kcnip4  Gabra4  Fgf13  Cntnap4  Clstn2  Htr2a  Brinp3  Kcnc2  Cntnap2  Grm5  Il1rapl1  Gabrg3  Kcnc1"
1.30771628273781e-10,22,772,6.0550077971729,"Dendritic tree "," http://amigo.geneontology.org/amigo/term/GO:0097447"," Gabra1  Ptprk  Hcn1  Cpne6  Epha4  Kcnab1  Brinp1  Sema3a  Gabrd  Kcnip4  Gabra4  Fgf13  Cntnap4  Clstn2  Htr2a  Brinp3  Kcnc2  Cntnap2  Grm5  Il1rapl1  Gabrg3  Kcnc1"
3.70482443193465e-10,21,737,6.05426091080344,"Postsynapse "," http://amigo.geneontology.org/amigo/term/GO:0098794"," Mef2c  Gabrb2  Gabra1  Cdh10  Grik1  Cdh2  Epha4  Dab1  Gabrd  Gabra4  Clstn2  Htr2a  Kcnc2  Kctd8  Grm5  Lrrc4c  Gabrg3  Kcnc1  Ntrk3  Dcc  Erbb4"
6.72793703134066e-11,26,1076,5.13417186992457,"Somatodendritic compartment "," http://amigo.geneontology.org/amigo/term/GO:0036477"," Gabra1  Ptprk  Hcn1  Cpne6  Grm8  Epha4  Kcnab1  Brinp1  Dab1  Sema3a  Gabrd  Kcnip4  Gabra4  Fgf13  Cntnap4  Clstn2  Htr2a  Brinp3  Kcnc2  Cntnap2  Grm5  Crh  Il1rapl1  Gabrg3  Kcnc1  Scn1a"
3.50955456256789e-13,33,1465,4.78614268199742,"Synapse "," http://amigo.geneontology.org/amigo/term/GO:0045202"," Mef2c  Gabrb2  Gabra1  Mctp1  Hcn1  Cdh10  Fgf12  Grik1  Grm8  Cdh2  Epha4  Kcnj3  Dab1  Gabrd  Gabra4  Cntnap4  Clstn2  Htr2a  Pdzrn3  Kcnc2  Kctd8  Cntnap2  Cntn5  Grm5  Crh  Lrrc4c  Il1rapl1  Gabrg3  Kcnc1  Ntrk3  Dcc  Erbb4  Scn1a"
6.42856822950314e-14,35,1561,4.76402977926771,"Neuron projection "," http://amigo.geneontology.org/amigo/term/GO:0043005"," Gabrb2  Gabra1  Ptprk  Sgk1  Hcn1  Cpne6  Grm8  Cdh2  Epha4  Kcnab1  Brinp1  Dab1  Sema3a  Gabrd  Kcnip4  Gabra4  Fgf13  Cntnap4  Clstn2  Htr2a  Brinp3  Kcnc2  Cntnap2  Cntn5  Crtac1  Grm5  Crh  Il1rapl1  Gabrg3  Kcnc1  Ntrk3  Dcc  Agbl4  Cntn4  Scn1a"
1.60863692453731e-11,31,1482,4.44449903698754,"Integral component of plasma membrane "," http://amigo.geneontology.org/amigo/term/GO:0005887"," Gabrb2  Gabra1  Hcn1  Cdh10  Grm8  Cdh2  Epha4  Kcnj3  Kcnab1  Kcnq5  Sema3a  Gabrd  Kcnip4  Gabra4  Cntnap4  Clstn2  Rxfp1  Htr2a  Kcnc2  Kcnmb2  Cntnap2  Grm5  Lrrc4c  Gabrg3  Kcnc1  Ntrk3  Kcnh7  Dcc  Erbb4  Sema3e  Scn1a"
5.84909823800366e-10,27,1316,4.35930445303509,"Plasma membrane region "," http://amigo.geneontology.org/amigo/term/GO:0098590"," Gabrb2  Gabra1  Hcn1  Cdh10  Grik1  Grm8  Cdh2  Epha4  Kcnj3  Gabrd  Gabra4  Cntnap4  Clstn2  Htr2a  Kcnc2  Kctd8  Cntnap2  Cntn5  Grm5  Lrrc4c  Pard3b  Gabrg3  Kcnc1  Ntrk3  Dcc  Erbb4  Scn1a"
