"Enrichment FDR","nGenes","Pathway Genes","Fold Enrichment","Pathway","URL","Genes"
5.35925376001468e-06,4,13,65.3771471247199,"GABA-gated chloride ion channel activity "," http://amigo.geneontology.org/amigo/term/GO:0022851"," Gabrb2  Gabra1  Gabra4  Gabrg3"
9.18280875133182e-07,5,19,55.9146653040368,"GABA-A receptor activity "," http://amigo.geneontology.org/amigo/term/GO:0004890"," Gabrb2  Gabra1  Gabrd  Gabra4  Gabrg3"
1.37097339168099e-06,5,22,48.2899382171227,"GABA receptor activity "," http://amigo.geneontology.org/amigo/term/GO:0016917"," Gabrb2  Gabra1  Gabrd  Gabra4  Gabrg3"
5.35925376001468e-06,6,58,21.9802477402076,"Transmitter-gated ion channel activity "," http://amigo.geneontology.org/amigo/term/GO:0022824"," Gabrb2  Gabra1  Grik1  Gabrd  Gabra4  Gabrg3"
1.07822973135442e-05,6,66,19.3159752868491,"Postsynaptic neurotransmitter receptor activity "," http://amigo.geneontology.org/amigo/term/GO:0098960"," Gabrb2  Gabra1  Gabrd  Gabra4  Grm5  Gabrg3"
3.42585670088468e-06,7,84,17.7063106796117,"Voltage-gated potassium channel activity "," http://amigo.geneontology.org/amigo/term/GO:0005249"," Hcn1  Kcnj3  Kcnab1  Kcnq5  Kcnc2  Kcnc1  Kcnh7"
2.95243781556946e-07,9,118,16.2057758762547,"Potassium channel activity "," http://amigo.geneontology.org/amigo/term/GO:0005267"," Hcn1  Kcnj3  Kcnab1  Kcnq5  Kcnip4  Kcnc2  Kcnmb2  Kcnc1  Kcnh7"
1.37097339168099e-06,8,110,15.4527802294793,"Neurotransmitter receptor activity "," http://amigo.geneontology.org/amigo/term/GO:0030594"," Gabrb2  Gabra1  Grik1  Gabrd  Gabra4  Htr2a  Grm5  Gabrg3"
6.18594974642417e-07,9,131,14.5975691099088,"Ligand-gated ion channel activity "," http://amigo.geneontology.org/amigo/term/GO:0015276"," Gabrb2  Gabra1  Hcn1  Grik1  Kcnj3  Gabrd  Gabra4  Gabrg3  Kcnh7"
1.37097339168099e-06,9,153,12.4985722444318,"Potassium ion transmembrane transporter activity "," http://amigo.geneontology.org/amigo/term/GO:0015079"," Hcn1  Kcnj3  Kcnab1  Kcnq5  Kcnip4  Kcnc2  Kcnmb2  Kcnc1  Kcnh7"
9.0251964724849e-10,16,326,10.4282565965811,"Gated channel activity "," http://amigo.geneontology.org/amigo/term/GO:0022836"," Gabrb2  Gabra1  Hcn1  Grik1  Kcnj3  Kcnab1  Kcnq5  Gabrd  Kcnip4  Gabra4  Kcnc2  Kcnmb2  Gabrg3  Kcnc1  Kcnh7  Scn1a"
5.35925376001468e-06,9,187,10.226104563626,"Voltage-gated ion channel activity "," http://amigo.geneontology.org/amigo/term/GO:0005244"," Hcn1  Kcnj3  Kcnab1  Kcnq5  Kcnip4  Kcnc2  Kcnc1  Kcnh7  Scn1a"
1.76478390997243e-09,17,418,8.64135736516932,"Ion channel activity "," http://amigo.geneontology.org/amigo/term/GO:0005216"," Gabrb2  Gabra1  Hcn1  Grik1  Kcnj3  Kcnab1  Kcnq5  Gabrd  Kcnip4  Gabra4  Ano4  Kcnc2  Kcnmb2  Gabrg3  Kcnc1  Kcnh7  Scn1a"
4.37473057565495e-09,17,463,7.80148461909455,"Channel activity "," http://amigo.geneontology.org/amigo/term/GO:0015267"," Gabrb2  Gabra1  Hcn1  Grik1  Kcnj3  Kcnab1  Kcnq5  Gabrd  Kcnip4  Gabra4  Ano4  Kcnc2  Kcnmb2  Gabrg3  Kcnc1  Kcnh7  Scn1a"
4.37473057565495e-09,17,463,7.80148461909455,"Passive transmembrane transporter activity "," http://amigo.geneontology.org/amigo/term/GO:0022803"," Gabrb2  Gabra1  Hcn1  Grik1  Kcnj3  Kcnab1  Kcnq5  Gabrd  Kcnip4  Gabra4  Ano4  Kcnc2  Kcnmb2  Gabrg3  Kcnc1  Kcnh7  Scn1a"
1.05190799995072e-06,17,703,5.13810437928987,"Inorganic molecular entity transmembrane transporter activity "," http://amigo.geneontology.org/amigo/term/GO:0015318"," Gabrb2  Gabra1  Hcn1  Grik1  Kcnj3  Kcnab1  Kcnq5  Gabrd  Kcnip4  Gabra4  Ano4  Kcnc2  Kcnmb2  Gabrg3  Kcnc1  Kcnh7  Scn1a"
